estado,año,homicidios_100k
Sinaloa,2022,18.61
Sinaloa,2023,19.99
Sonora,2003,9.71
Sonora,2004,10.37
Sonora,2005,10.48
Sonora,2006,9.94
Sonora,2007,12.59
Sonora,2008,16.72
Sonora,2009,21.54
Sonora,2010,27.39
Sonora,2011,19.8
Sonora,2012,18.88
Sonora,2013,23.29
Sonora,2014,23.32
Sonora,2015,20.08
Sonora,2016,19.61
Sonora,2017,25.34
Sonora,2018,30.71
Sonora,2019,44.75
Sonora,2020,53.74
Sonora,2021,68.36
Sonora,2022,55.51
Sonora,2023,45.52
Tabasco,2003,6.12
Tabasco,2004,5.75
Tabasco,2005,5.09
Tabasco,2006,7.19
Tabasco,2007,7.16
Tabasco,2008,7.36
Tabasco,2009,8.18
Tabasco,2010,8.96
Tabasco,2011,10.47
Tabasco,2012,8.71
Tabasco,2013,10.79
Tabasco,2014,10.12
Tabasco,2015,15.72
Tabasco,2016,17.91
Tabasco,2017,18.37
Tabasco,2018,22.84
Tabasco,2019,27.28
Tabasco,2020,24.35
Tabasco,2021,18.31
Tabasco,2022,13.9
Tabasco,2023,10.61
Tamaulipas,2003,7.68
Tamaulipas,2004,7.15
Tamaulipas,2005,11.34
Tamaulipas,2006,11.5
Tamaulipas,2007,6.08
Tamaulipas,2008,8.25
Tamaulipas,2009,9.61
Tamaulipas,2010,28.07
Tamaulipas,2011,31.8
Tamaulipas,2012,45.34
Tamaulipas,2013,25.14
Tamaulipas,2014,25.66
Tamaulipas,2015,18.86
Tamaulipas,2016,21.97
Tamaulipas,2017,32.27
Tamaulipas,2018,37.92
Tamaulipas,2019,22.94
Tamaulipas,2020,21.96
Tamaulipas,2021,19.57
Tamaulipas,2022,12.33
Tamaulipas,2023,17.34
Tlaxcala,2003,3.86
Tlaxcala,2004,4.96
Tlaxcala,2005,4.68
Tlaxcala,2006,4.13
Tlaxcala,2007,3.41
Tlaxcala,2008,4.8
Tlaxcala,2009,7.21
Tlaxcala,2010,4.99
Tlaxcala,2011,7.47
Tlaxcala,2012,6.32
Tlaxcala,2013,7.52
Tlaxcala,2014,7.14
Tlaxcala,2015,6.37
Tlaxcala,2016,7.52
Tlaxcala,2017,9.69
Tlaxcala,2018,11.49
Tlaxcala,2019,14.04
Tlaxcala,2020,12.11
Tlaxcala,2021,12.14
Tlaxcala,2022,11.36
Tlaxcala,2023,9.92
Veracruz de Ignacio de la Llave,2003,5.7
Veracruz de Ignacio de la Llave,2004,4.59
Veracruz de Ignacio de la Llave,2005,4.76
Veracruz de Ignacio de la Llave,2006,4.95
Veracruz de Ignacio de la Llave,2007,5.19
Veracruz de Ignacio de la Llave,2008,4.62
Veracruz de Ignacio de la Llave,2009,9.36
Veracruz de Ignacio de la Llave,2010,6.19
Veracruz de Ignacio de la Llave,2011,13.42
Veracruz de Ignacio de la Llave,2012,13.65
Veracruz de Ignacio de la Llave,2013,10.24
Veracruz de Ignacio de la Llave,2014,11.8
Veracruz de Ignacio de la Llave,2015,13.42
Veracruz de Ignacio de la Llave,2016,17.21
Veracruz de Ignacio de la Llave,2017,24.57
Veracruz de Ignacio de la Llave,2018,20.07
Veracruz de Ignacio de la Llave,2019,19.71
Veracruz de Ignacio de la Llave,2020,16.31
Veracruz de Ignacio de la Llave,2021,12.67
Veracruz de Ignacio de la Llave,2022,10.18
Veracruz de Ignacio de la Llave,2023,10.16
Yucatán,2003,2.31
Yucatán,2004,1.93
Yucatán,2005,1.94
Yucatán,2006,2.1
Yucatán,2007,2.45
Yucatán,2008,2.39
Yucatán,2009,1.77
Yucatán,2010,1.59
Yucatán,2011,2.42
Yucatán,2012,1.82
Yucatán,2013,2.13
Yucatán,2014,1.99
Yucatán,2015,2.41
Yucatán,2016,2.59
Yucatán,2017,2.06
Yucatán,2018,2.28
Yucatán,2019,1.74
Yucatán,2020,2.88
Yucatán,2021,2.13
Yucatán,2022,2.06
Yucatán,2023,1.89
Zacatecas,2003,7.24
Zacatecas,2004,6.88
Zacatecas,2005,5.39
Zacatecas,2006,5.68
Zacatecas,2007,5.21
Zacatecas,2008,6.87
Zacatecas,2009,8.91
Zacatecas,2010,9.63
Zacatecas,2011,19.35
Zacatecas,2012,30.65
Zacatecas,2013,28.21
Zacatecas,2014,12.9
Zacatecas,2015,21.64
Zacatecas,2016,37.15
Zacatecas,2017,44.68
Zacatecas,2018,48.25
Zacatecas,2019,42.24
Zacatecas,2020,80.47
Zacatecas,2021,111.7
Zacatecas,2022,89.29
Zacatecas,2023,64.9
