estado,año,pct_secundario,pct_terciario
Guerrero,2017,19.01,72.39
Hidalgo,2017,39.32,53.62
Jalisco,2017,29.67,58.47
México,2017,30.07,62.49
Michoacán de Ocampo,2017,19.8,62.47
Morelos,2017,31.96,59.32
Nayarit,2017,20.27,68.0
Nuevo León,2017,38.42,54.92
Oaxaca,2017,26.44,64.74
Puebla,2017,36.42,54.57
Querétaro,2017,42.85,49.02
Quintana Roo,2017,10.59,81.41
San Luis Potosí,2017,46.63,44.34
Sinaloa,2017,18.9,66.59
Sonora,2017,45.63,43.17
Tabasco,2017,55.26,39.95
Tamaulipas,2017,39.36,52.5
Tlaxcala,2017,34.59,56.29
Veracruz de Ignacio de la Llave,2017,29.6,60.56
Yucatán,2017,25.85,66.79
Zacatecas,2017,33.41,50.44
Aguascalientes,2018,44.44,45.57
Baja California,2018,42.12,49.22
Baja California Sur,2018,24.04,67.52
Campeche,2018,80.89,16.33
Coahuila de Zaragoza,2018,54.64,37.49
Colima,2018,26.23,66.39
Chiapas,2018,19.39,70.27
Chihuahua,2018,41.14,47.11
Ciudad de México,2018,8.92,85.31
Durango,2018,36.64,51.31
Guanajuato,2018,39.31,51.48
Guerrero,2018,18.95,72.45
Hidalgo,2018,37.05,55.63
Jalisco,2018,28.67,59.41
México,2018,29.32,63.5
Michoacán de Ocampo,2018,18.88,63.53
Morelos,2018,29.49,61.66
Nayarit,2018,18.97,69.52
Nuevo León,2018,39.91,53.34
Oaxaca,2018,28.82,62.45
Puebla,2018,35.56,55.52
Querétaro,2018,42.59,49.26
Quintana Roo,2018,10.66,81.42
San Luis Potosí,2018,46.57,44.34
Sinaloa,2018,19.8,65.41
Sonora,2018,44.54,44.02
Tabasco,2018,51.99,42.96
Tamaulipas,2018,40.68,51.5
Tlaxcala,2018,34.91,56.0
Veracruz de Ignacio de la Llave,2018,29.17,60.78
Yucatán,2018,25.31,67.02
Zacatecas,2018,34.1,49.06
Aguascalientes,2019,44.05,45.9
Baja California,2019,43.18,48.03
Baja California Sur,2019,20.47,70.9
Campeche,2019,79.96,17.16
Coahuila de Zaragoza,2019,53.76,38.25
Colima,2019,30.29,62.64
Chiapas,2019,17.08,72.24
Chihuahua,2019,41.98,46.67
Ciudad de México,2019,8.77,85.45
Durango,2019,37.32,50.71
Guanajuato,2019,37.99,52.74
Guerrero,2019,18.44,72.97
Hidalgo,2019,35.94,56.46
Jalisco,2019,28.35,59.41
