estado,año,pibe_millones,poblacion,pib_per_capita,pct_secundario,pct_terciario,informalidad_pct,escolaridad_promedio,ied_mdd,remesas_mdd,homicidios_100k
Guanajuato,2014,978989,5777000,169463,40.05,50.78,59.0,8.25,1317.89,2162.0,13.85
Guerrero,2014,320204,3438000,93137,23.31,68.27,79.46,7.69,479.41,1245.18,50.29
Hidalgo,2014,397901,2696000,147589,42.22,50.57,71.34,8.6,-66.07,744.62,7.79
Jalisco,2014,1567647,8207000,191013,29.44,58.1,52.04,9.16,1684.6,2020.28,12.65
México,2014,1966749,16575000,118658,29.62,62.35,58.7,9.44,3581.43,1512.02,17.54
Michoacán de Ocampo,2014,560341,4250000,131845,21.7,62.56,71.46,7.83,211.48,2320.11,21.93
Morelos,2014,259666,1829000,141972,31.82,59.55,66.18,9.22,356.52,545.38,23.95
Nayarit,2014,145894,1160000,125771,23.87,65.05,62.66,9.05,105.8,373.71,15.0
Nuevo León,2014,1666975,5333000,312577,39.93,53.7,37.2,10.18,1578.84,629.57,10.76
Oaxaca,2014,395065,3871000,102058,35.94,56.18,79.57,7.4,482.8,1256.68,19.25
Puebla,2014,747337,6681000,111860,33.24,57.88,72.08,8.38,1057.16,1384.83,8.5
Querétaro,2014,542149,2060000,263179,43.12,48.84,44.76,9.42,1128.73,410.16,5.15
Quintana Roo,2014,300006,1695000,176995,12.78,79.57,46.96,9.52,223.94,108.65,7.37
San Luis Potosí,2014,460034,2771000,166017,42.22,48.93,57.77,8.71,1064.82,795.31,9.71
Sinaloa,2014,465691,2934000,158722,18.5,67.77,49.75,9.48,399.99,532.11,39.4
