año,estado,remesas_mdd
2006,Quintana Roo,99.54
2007,Quintana Roo,100.95
2008,Quintana Roo,101.38
2009,Quintana Roo,88.84
2010,Quintana Roo,89.6
2011,Quintana Roo,95.08
2012,Quintana Roo,96.85
2013,Quintana Roo,104.58
2014,Quintana Roo,108.65
2015,Quintana Roo,124.25
2016,Quintana Roo,133.38
2017,Quintana Roo,150.31
2018,Quintana Roo,171.17
2019,Quintana Roo,191.79
2020,Quintana Roo,247.23
2021,Quintana Roo,315.99
2022,Quintana Roo,391.79
2023,Quintana Roo,397.14
2003,San Luis Potosí,403.5
2004,San Luis Potosí,469.21
2005,San Luis Potosí,562.31
2006,San Luis Potosí,714.49
2007,San Luis Potosí,797.72
2008,San Luis Potosí,792.46
2009,San Luis Potosí,650.8
2010,San Luis Potosí,649.73
2011,San Luis Potosí,723.71
2012,San Luis Potosí,766.7
2013,San Luis Potosí,732.96
2014,San Luis Potosí,795.31
2015,San Luis Potosí,869.76
2016,San Luis Potosí,986.27
2017,San Luis Potosí,1156.7
2018,San Luis Potosí,1273.46
2019,San Luis Potosí,1381.1
2020,San Luis Potosí,1470.9
2021,San Luis Potosí,1758.3
2022,San Luis Potosí,2002.2
2023,San Luis Potosí,2071.52
2003,Sinaloa,320.51
2004,Sinaloa,374.02
2005,Sinaloa,451.13
2006,Sinaloa,503.22
2007,Sinaloa,535.58
2008,Sinaloa,507.82
2009,Sinaloa,474.25
2010,Sinaloa,485.4
2011,Sinaloa,528.52
2012,Sinaloa,520.17
2013,Sinaloa,521.03
2014,Sinaloa,532.11
2015,Sinaloa,540.97
2016,Sinaloa,637.71
2017,Sinaloa,739.55
2018,Sinaloa,829.45
2019,Sinaloa,946.91
2020,Sinaloa,1071.93
2021,Sinaloa,1186.79
2022,Sinaloa,1216.99
2023,Sinaloa,1113.21
2003,Sonora,128.33
2004,Sonora,170.42
2005,Sonora,294.73
2006,Sonora,325.97
2007,Sonora,340.25
2008,Sonora,323.81
2009,Sonora,289.39
2010,Sonora,301.43
2011,Sonora,337.56
2012,Sonora,339.12
2013,Sonora,353.65
2014,Sonora,348.45
2015,Sonora,409.09
2016,Sonora,422.62
2017,Sonora,459.61
2018,Sonora,545.48
2019,Sonora,607.91
2020,Sonora,728.62
2021,Sonora,883.05
2022,Sonora,910.54
2023,Sonora,915.45
2003,Tabasco,85.89
2004,Tabasco,105.28
2005,Tabasco,156.46
2006,Tabasco,187.84
2007,Tabasco,187.27
2008,Tabasco,162.47
2009,Tabasco,118.81
2010,Tabasco,114.94
2011,Tabasco,115.37
2012,Tabasco,115.46
2013,Tabasco,121.52
2014,Tabasco,135.43
2015,Tabasco,185.67
2016,Tabasco,158.59
2017,Tabasco,169.67
2018,Tabasco,214.56
2019,Tabasco,258.52
2020,Tabasco,288.76
2021,Tabasco,440.05
2022,Tabasco,432.0
2023,Tabasco,420.1
2003,Tamaulipas,234.46
2004,Tamaulipas,284.1
2005,Tamaulipas,425.33
2006,Tamaulipas,496.73
2007,Tamaulipas,529.33
2008,Tamaulipas,521.34
2009,Tamaulipas,430.87
2010,Tamaulipas,415.27
2011,Tamaulipas,459.85
2012,Tamaulipas,503.87
2013,Tamaulipas,732.78
2014,Tamaulipas,858.84
2015,Tamaulipas,694.15
2016,Tamaulipas,669.89
2017,Tamaulipas,740.58
2018,Tamaulipas,815.0
2019,Tamaulipas,894.37
2020,Tamaulipas,972.56
2021,Tamaulipas,1151.76
2022,Tamaulipas,1140.62
2023,Tamaulipas,1100.86
2003,Tlaxcala,149.19
2004,Tlaxcala,185.09
2005,Tlaxcala,221.1
2006,Tlaxcala,270.68
2007,Tlaxcala,311.07
2008,Tlaxcala,317.89
2009,Tlaxcala,268.76
2010,Tlaxcala,266.85
2011,Tlaxcala,283.53
2012,Tlaxcala,262.82
2013,Tlaxcala,225.1
2014,Tlaxcala,226.33
2015,Tlaxcala,305.66
2016,Tlaxcala,239.85
2017,Tlaxcala,257.11
2018,Tlaxcala,263.69
2019,Tlaxcala,263.73
2020,Tlaxcala,252.4
2021,Tlaxcala,324.34
2022,Tlaxcala,387.86
2023,Tlaxcala,414.2
2003,Veracruz,999.18
2004,Veracruz,1168.05
2005,Veracruz,1373.48
2006,Veracruz,1680.78
2007,Veracruz,1819.77
2008,Veracruz,1685.21
2009,Veracruz,1346.08
2010,Veracruz,1277.41
2011,Veracruz,1314.59
2012,Veracruz,1220.36
2013,Veracruz,1065.77
2014,Veracruz,1083.44
2015,Veracruz,1091.37
2016,Veracruz,1155.79
2017,Veracruz,1324.26
2018,Veracruz,1425.5
2019,Veracruz,1553.1
2020,Veracruz,1667.44
